PeakID (cmd=annotatePeaks.pl ./homer_results/mouse_specific_peaks_conservative/peaks_homer.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr17:73852756-73853628:505	chr2	31297094	31297094	+	-1	NA	Intergenic	Intergenic	62942	NM_014600	30845		NM_014600	ENSG00000013016	EHD3	PAST3	EH domain containing 3	protein-coding
chr2:131127047-131127751:314	chr20	3732569	3732569	+	-1	NA	promoter-TSS (NM_052970)	promoter-TSS (NM_052970)	-116	NM_001318322	116835		NM_052970	ENSG00000132622	HSPA12B	C20orf60	heat shock protein family A (Hsp70) member 12B	protein-coding
chr6:86830709-86831522:641	chr2	69683318	69683318	+	-1	NA	intron (NM_001320698, intron 2 of 14)	intron (NM_001320698, intron 2 of 14)	39510	NM_001320698	307		NM_001153	ENSG00000196975	ANXA4	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	annexin A4	protein-coding
chr7:72162266-72162699:252	chr15	94400691	94400691	+	-1	NA	intron (NM_001385002, intron 17 of 23)	intron (NM_001385002, intron 17 of 23)	44761	NM_001159644	55784		NM_018349	ENSG00000140563	MCTP2	-	multiple C2 and transmembrane domain containing 2	protein-coding
chr2:71744805-71745173:183	chr2	172380601	172380601	+	-1	NA	Intergenic	Intergenic	-46735	NM_001316306	3655		NM_000210	ENSG00000091409	ITGA6	CD49f|ITGA6A|ITGA6B|JEB6|VLA-6	integrin subunit alpha 6	protein-coding
chr15:53848255-53848974:423	chr8	118575065	118575065	+	-1	NA	intron (NM_207506, intron 2 of 3)	intron (NM_207506, intron 2 of 3)	-45936	NR_038210	552860		NR_038210		SAMD12-AS1	C8orf26|NCRNA00252	SAMD12 antisense RNA 1	ncRNA
chr3:53475971-53476201:112	chr13	39016971	39016971	+	-1	NA	intron (NM_170719, intron 9 of 11)	intron (NM_170719, intron 9 of 11)	21105	NM_170719	80209		NM_025138	ENSG00000120685	PROSER1	C13orf23	proline and serine rich 1	protein-coding
chr7:125643933-125644228:129	chr16	27464517	27464517	+	-1	NA	exon (NM_001286242, exon 34 of 37)	exon (NM_001286242, exon 34 of 37)	-11124	NR_037158	283888		NR_037158	ENSG00000259954	IL21R-AS1	-	IL21R antisense RNA 1	ncRNA
chr12:69761672-69762044:175	chr14	50346213	50346213	+	-1	NA	intron (NM_001282236, intron 3 of 8)	intron (NM_001282236, intron 3 of 8)	33889	NM_001382507	27109		NM_015684	ENSG00000125375	DMAC2L	ATP5S|ATPW|FB|HSU79253	distal membrane arm assembly component 2 like	protein-coding
chr13:112058164-112058566:243	chr5	56530338	56530338	+	-1	NA	intron (NR_161255, intron 4 of 5)	intron (NR_161255, intron 4 of 5)	-48569	NR_104664	102467147		NR_104664	ENSG00000248727	LINC01948	-	long intergenic non-protein coding RNA 1948	ncRNA
chr6:88133857-88134243:237	chr3	128575998	128575998	+	-1	NA	promoter-TSS (NR_125802)	promoter-TSS (NR_125802)	88	NR_125802	23434		NM_007354	ENSG00000198685	LINC01565	C3orf27|GR6	long intergenic non-protein coding RNA 1565	ncRNA
chr14:62940368-62940980:191	chr13	51737369	51737369	+	-1	NA	intron (NM_052950, intron 6 of 11)	intron (NM_052950, intron 6 of 11)	66366	NM_001377932	79758		NM_024705	ENSG00000102796	DHRS12	SDR40C1	dehydrogenase/reductase 12	protein-coding
chr9:32595062-32595779:348	chr11	128627304	128627304	+	-1	NA	Intergenic	Intergenic	-39746	NM_001143820	2113		NM_005238	ENSG00000134954	ETS1	ETS-1|EWSR2|c-ets-1|p54	ETS proto-oncogene 1, transcription factor	protein-coding
chr9:83556772-83557239:226	chr6	79640686	79640686	+	-1	NA	intron (NM_031469, intron 1 of 3)	intron (NM_031469, intron 1 of 3)	9357	NM_031469	83699		NM_031469	ENSG00000198478	SH3BGRL2	-	SH3 domain binding glutamate rich protein like 2	protein-coding
chr1:74594299-74594966:308	chr2	218664786	218664786	+	-1	NA	exon (NM_022453, exon 9 of 10)	exon (NM_022453, exon 9 of 10)	5103	NM_001371450	617		NM_004328	ENSG00000074582	BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	protein-coding
chr6:116006588-116007105:316	chr3	129623735	129623735	+	-1	NA	Intergenic	Intergenic	-17059	NM_015103	23129		NM_015103	ENSG00000004399	PLXND1	CHTD9|PLEXD1	plexin D1	protein-coding
chr10:128438915-128439281:222	chr12	56205735	56205735	+	-1	NA	non-coding (NR_040053, exon 9 of 9)	non-coding (NR_040053, exon 9 of 9)	15966	NM_001242826	10193		NM_005785	ENSG00000181852	RNF41	FLRF|NRDP1|SBBI03	ring finger protein 41	protein-coding
chr17:40879889-40880794:95	chr6	49551398	49551398	+	-1	NA	exon (NM_001145652, exon 1 of 1)	exon (NM_001145652, exon 1 of 1)	730	NR_146855	135398		NM_153344	ENSG00000197261	C6orf141	-	chromosome 6 open reading frame 141	protein-coding
chr5:75876934-75877884:150	chr4	55005020	55005020	+	-1	NA	Intergenic	Intergenic	120575	NM_002253	3791		NM_002253	ENSG00000128052	KDR	CD309|FLK1|VEGFR|VEGFR2	kinase insert domain receptor	protein-coding
chr8:120004163-120004800:359	chr16	84832680	84832680	+	-1	NA	intron (NM_031476, intron 1 of 14)	intron (NM_031476, intron 1 of 14)	12695	NM_031476	83716		NM_031476	ENSG00000103196	CRISPLD2	CRISP11|LCRISP2|LGL1	cysteine rich secretory protein LCCL domain containing 2	protein-coding
chr8:35556096-35556520:174	chr8	8935689	8935689	+	-1	NA	Intergenic	L4_C_Mam|LINE|RTE-X	-42059	NM_004225	9258		NM_004225	ENSG00000147324	MFHAS1	LRRC65|MASL1|ROCO4	multifunctional ROCO family signaling regulator 1	protein-coding
chr11:103706722-103707643:423	chr17	46906096	46906096	+	-1	NA	Intergenic	Intergenic	-17021	NM_001012511	9570		NM_004287	ENSG00000108433	GOSR2	Bos1|EPM6|GS27|MYOS	golgi SNAP receptor complex member 2	protein-coding
chr4:55077058-55077980:267	chr9	107007749	107007749	+	-1	NA	intron (NM_001347997, intron 11 of 12)	intron (NM_001347997, intron 11 of 12)	95239	NR_126029	340512		NR_126029	ENSG00000230782	LOC340512	-	uncharacterized LOC340512	ncRNA
chr8:25439979-25441047:899	chr8	38553854	38553854	+	-1	NA	Intergenic	Intergenic	-25192	NR_167676	389649		NM_207412	ENSG00000196166	LINC03042	C8orf86	long intergenic non-protein coding RNA 3042	ncRNA
chr9:95150110-95150496:205	chr3	143351474	143351474	+	-1	NA	intron (NM_173653, intron 14 of 15)	intron (NM_173653, intron 14 of 15)	9228	NR_048544	100885796		NR_048544	ENSG00000240012	SLC9A9-AS1	-	SLC9A9 antisense RNA 1	ncRNA
chr1:50927055-50928202:850	chr2	192194565	192194565	+	-1	NA	5' UTR (NM_016192, exon 1 of 10)	5' UTR (NM_016192, exon 1 of 10)	368	NM_001305134	23671		NM_016192	ENSG00000144339	TMEFF2	CT120.2|HPP1|TENB2|TPEF|TR|TR-2	transmembrane protein with EGF like and two follistatin like domains 2	protein-coding
chr11:98954096-98954951:71	chr17	40337074	40337074	+	-1	NA	intron (NM_001145302, intron 2 of 6)	MIRb|SINE|MIR	-5092	NM_001024809	5914		NM_000964	ENSG00000131759	RARA	NR1B1|RAR|RARalpha	retinoic acid receptor alpha	protein-coding
chr10:13946502-13946850:165	chr6	142955037	142955037	+	-1	NA	Intergenic	L2a|LINE|L2	-9861	NM_006734	3097		NM_006734	ENSG00000010818	HIVEP2	HIV-EP2|MBP-2|MIBP1|MRD43|SHN2|ZAS2|ZNF40B	HIVEP zinc finger 2	protein-coding
chr4:132958832-132959727:725	chr1	27650665	27650665	+	-1	NA	Intergenic	Intergenic	12057	NR_151722	111216282		NR_151722	ENSG00000233975	LINC02574	HEAL	long intergenic non-protein coding RNA 2574	ncRNA
chr15:102315210-102315746:205	chr12	53286151	53286151	+	-1	NA	exon (NM_012291, exon 18 of 31)	exon (NM_012291, exon 18 of 31)	-9300	NM_145897	5204		NM_002624	ENSG00000123349	PFDN5	MM-1|MM1|PFD5	prefoldin subunit 5	protein-coding
chr1:62747711-62748190:219	chr2	205726697	205726697	+	-1	NA	intron (NM_201264, intron 6 of 8)	intron (NM_201264, intron 6 of 8)	44196	NM_018534	8828		NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
chr11:82897354-82897977:193	chr17	35127037	35127037	+	-1	NA	intron (NM_017559, intron 1 of 3)	intron (NM_017559, intron 1 of 3)	5422	NM_017559	54752		NM_017559	ENSG00000073598	FNDC8	-	fibronectin type III domain containing 8	protein-coding
chr11:101981807-101982206:211	chr17	43775129	43775129	+	-1	NA	intron (NM_004090, intron 1 of 2)	L2c|LINE|L2	3848	NM_004090	1845		NM_004090	ENSG00000108861	DUSP3	VHR	dual specificity phosphatase 3	protein-coding
chr11:85832065-85833552:69	chr17	61399207	61399207	+	-1	NA	promoter-TSS (NM_005994)	promoter-TSS (NM_005994)	399	NR_125750	103689912		NR_125749	ENSG00000267280	TBX2-AS1	-	TBX2 antisense RNA 1	ncRNA
chr7:46615560-46616091:226	chr11	17989404	17989404	+	-1	NA	intron (NR_104041, intron 7 of 9)	MIR3|SINE|MIR	23643	NR_104041	26297		NM_012139	ENSG00000129158	SERGEF	DELGEF|Gnefr	secretion regulating guanine nucleotide exchange factor	protein-coding
chr5:139382816-139383119:165	chr7	1047418	1047418	+	-1	NA	intron (NM_001303473, intron 1 of 1)	intron (NM_001303473, intron 1 of 1)	2872	NM_001303473	115330		NM_138445	ENSG00000164849	GPR146	PGR8	G protein-coupled receptor 146	protein-coding
chr11:63376988-63377512:225	chr17	14962544	14962544	+	-1	NA	Intergenic	Intergenic	-52261	NR_135638	101928475		NR_135638	ENSG00000232058	LOC101928475	-	uncharacterized LOC101928475	ncRNA
chr11:114727226-114727541:169	chr17	74274251	74274251	+	-1	NA	promoter-TSS (NM_001172810)	promoter-TSS (NM_001172810)	17	NM_001172810	64446		NM_023036	ENSG00000171595	DNAI2	CILD9|DIC2|oda6	dynein axonemal intermediate chain 2	protein-coding
chr4:115079646-115079868:113	chr1	47208652	47208652	+	-1	NA	Intergenic	Intergenic	-18616	NM_005764	10158		NM_005764	ENSG00000162366	PDZK1IP1	DD96|MAP17|SPAP	PDZK1 interacting protein 1	protein-coding
chr8:104239558-104239859:168	chr16	66534964	66534964	+	-1	NA	intron (NM_001172645, intron 3 of 8)	AluJr|SINE|Alu	15158	NM_004614	7084		NM_004614	ENSG00000166548	TK2	MTDPS2|MTTK|PEOB3|SCA31|TK2-EXT	thymidine kinase 2	protein-coding
chr8:94992437-94992910:229	chr16	57637653	57637653	+	-1	NA	intron (NM_001145772, intron 1 of 14)	intron (NM_001145772, intron 1 of 14)	-1839	NM_001290144	9289		NM_005682	ENSG00000205336	ADGRG1	BFPP|BPPR|CDCBM14B|CDCBM15A|GPR56|TM7LN4|TM7XN1	adhesion G protein-coupled receptor G1	protein-coding
chr18:63864288-63864587:163	chr18	56874016	56874016	+	-1	NA	intron (NM_052834, intron 19 of 26)	intron (NM_052834, intron 19 of 26)	198103	NR_152602	100885779		NR_048536	ENSG00000258609	LINC-ROR	ROR|lincRNA-RoR|lincRNA-ST8SIA3	long intergenic non-protein coding RNA, regulator of reprogramming	ncRNA
chr11:35838383-35838685:144	chr5	168469639	168469639	+	-1	NA	3' UTR (NM_001161662, exon 23 of 23)	3' UTR (NM_001161662, exon 23 of 23)	-16832	NM_002887	5917		NM_002887	ENSG00000113643	RARS1	ArgRS|DALRD1|HLD9|RARS	arginyl-tRNA synthetase 1	protein-coding
chrX:48433546-48433924:178	chrX	130092311	130092311	+	-1	NA	intron (NM_001127197, intron 1 of 8)	intron (NM_001127197, intron 1 of 8)	18186	NM_001421	2000		NM_001421	ENSG00000102034	ELF4	AIFBL2|ELFR|MEF	E74 like ETS transcription factor 4	protein-coding
chr14:51195722-51196135:175	chr14	20693589	20693589	+	-1	NA	exon (NM_001145, exon 2 of 2)	exon (NM_001145, exon 2 of 2)	4825	NM_001385274	283		NM_001145	ENSG00000214274	ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	angiogenin	protein-coding
chr2:32078497-32078890:236	chr9	131270662	131270662	+	-1	NA	intron (NM_033387, intron 1 of 1)	intron (NM_033387, intron 1 of 1)	5848	NM_033387	286336		NM_033387	ENSG00000126882	FAM78A	C9orf59	family with sequence similarity 78 member A	protein-coding
chr6:134981185-134982148:250	chr12	12785098	12785098	+	-1	NA	promoter-TSS (NM_030817)	promoter-TSS (NM_030817)	-561	NM_030817	81575		NM_030817	ENSG00000178878	APOLD1	BDVAS|VERGE	apolipoprotein L domain containing 1	protein-coding
chr10:78591279-78592275:278	chr19	15107779	15107779	+	-1	NA	intron (NM_001300910, intron 1 of 7)	CpG	378	NM_033025	85360		NM_033025	ENSG00000105137	SYDE1	7h3|SYD1	synapse defective Rho GTPase homolog 1	protein-coding
chr2:173351608-173352837:1122	chr20	57880512	57880512	+	-1	NA	Intergenic	Intergenic	-123392	NR_147083	105376992		NR_147083	ENSG00000275852	LINC01742	-	long intergenic non-protein coding RNA 1742	ncRNA
chr10:86138890-86139811:326	chr22	32603610	32603610	+	-1	NA	intron (NM_133633, intron 5 of 11)	intron (NM_133633, intron 5 of 11)	128373	NM_001033024	25793		NM_012179	ENSG00000100225	FBXO7	FBX|FBX07|FBX7|PARK15|PKPS	F-box protein 7	protein-coding
chr18:84535876-84536131:127	chr18	74657792	74657792	+	-1	NA	intron (NM_001384475, intron 3 of 8)	intron (NM_001384475, intron 3 of 8)	26829	NM_001146189	55628		NM_017757	ENSG00000215421	ZNF407	SIMHA	zinc finger protein 407	protein-coding
chr4:32351893-32352310:172	chr6	90168960	90168960	+	-1	NA	intron (NM_021813, intron 4 of 8)	MER119|DNA|hAT-Charlie	127883	NM_021813	60468		NM_021813	ENSG00000112182	BACH2	BTBD25|IMD60	BTB domain and CNC homolog 2	protein-coding
chr18:44584678-44585373:72	chr5	113217869	113217869	+	-1	NA	intron (NM_001085377, intron 3 of 18)	intron (NM_001085377, intron 3 of 18)	77069	NM_002387	4163		NM_002387	ENSG00000171444	MCC	MCC1	MCC regulator of WNT signaling pathway	protein-coding
chr15:12375562-12376461:661	chr5	32087280	32087280	+	-1	NA	exon (NM_178140, exon 20 of 25)	exon (NM_178140, exon 20 of 25)	87039	NM_022130	64083		NM_022130	ENSG00000113384	GOLPH3	GOPP1|GPP34|MIDAS|Vps74	golgi phosphoprotein 3	protein-coding
chr10:96948960-96949325:157	chr12	91789908	91789908	+	-1	NA	Intergenic	Intergenic	351805	NR_046159	256021		NM_001256373	ENSG00000257242	LINC01619	C12orf79	long intergenic non-protein coding RNA 1619	ncRNA
chr2:61297044-61298011:427	chr2	160871921	160871921	+	-1	NA	Intergenic	L2a|LINE|L2	-265034	NM_133484	10010		NM_004180	ENSG00000136560	TANK	I-TRAF|ITRAF|TRAF2	TRAF family member associated NFKB activator	protein-coding
chr11:50099559-50100223:301	chr5	179962860	179962860	+	-1	NA	intron (NM_001280801, intron 7 of 7)	L3|LINE|CR1	52537	NR_029885	442908		NR_029885	ENSG00000198995	MIR340	MIRN340|hsa-mir-340|mir-340	microRNA 340	ncRNA
chr18:69563399-69563748:201	chr18	55351418	55351418	+	-1	NA	intron (NM_001369571, intron 6 of 19)	intron (NM_001369571, intron 6 of 19)	-29577	NM_001348214	6925		NM_003199	ENSG00000196628	TCF4	CDG2T|E2-2|FCD2|FECD3|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19	transcription factor 4	protein-coding
chr7:134937670-134938537:324	chr10	127196287	127196287	+	-1	NA	5' UTR (NM_001039762, exon 1 of 6)	5' UTR (NM_001039762, exon 1 of 6)	304	NM_001039762	642938		NM_001039762	ENSG00000188916	INSYN2A	C10orf141|FAM196A|INSYN2	inhibitory synaptic factor 2A	protein-coding
chr4:117866094-117866480:173	chr1	43999605	43999605	+	-1	NA	intron (NR_048548, intron 11 of 12)	intron (NR_048548, intron 11 of 12)	7758	NM_001349129	149473		NM_152499	ENSG00000159214	CCDC24	-	coiled-coil domain containing 24	protein-coding
chr10:117984744-117985295:382	chr12	68453838	68453838	+	-1	NA	Intergenic	MIRc|SINE|MIR	-2354	NR_120458	100507195		NR_120458		LINC02384	-	long intergenic non-protein coding RNA 2384	ncRNA
chrX:102017218-102018025:704	chrX	72080258	72080258	+	-1	NA	intron (NM_001013627, intron 1 of 7)	intron (NM_001013627, intron 1 of 7)	35849	NR_002309	441502		NR_002309		RPS26P11	RPS26L1|RPS26_22_1784|bA366E13.1	ribosomal protein S26 pseudogene 11	pseudo
chr17:50763412-50764069:162	chr3	17190883	17190883	+	-1	NA	intron (NM_001349090, intron 18 of 21)	intron (NM_001349090, intron 18 of 21)	257687	NR_037465	100500913		NR_037465	ENSG00000283885	MIR3714	-	microRNA 3714	ncRNA
chr10:80695056-80695669:327	chr19	2085493	2085493	+	-1	NA	intron (NM_130807, intron 1 of 4)	intron (NM_130807, intron 1 of 4)	10833	NM_130807	126308		NM_130807	ENSG00000172081	MOB3A	MOB-LAK|MOB1C|MOBKL2A|moblak	MOB kinase activator 3A	protein-coding
chr2:169996478-169997119:472	chr20	53384240	53384240	+	-1	NA	intron (NM_173485, intron 2 of 2)	intron (NM_173485, intron 2 of 2)	-168530	NR_110051	101927770		NR_110051		ZNF217-AS1	-	ZNF217 antisense RNA 1	ncRNA
chr6:49822487-49822802:123	chr7	24284080	24284080	+	-1	NA	promoter-TSS (NM_000905)	promoter-TSS (NM_000905)	-110	NM_000905	4852		NM_000905	ENSG00000122585	NPY	PYY4	neuropeptide Y	protein-coding
chr14:14863780-14864207:157	chr3	27287237	27287237	+	-1	NA	intron (NM_199347, intron 21 of 24)	intron (NM_199347, intron 21 of 24)	-70714	NM_001031741	152110		NM_152534	ENSG00000163491	NEK10	CILD44	NIMA related kinase 10	protein-coding
chr4:36288879-36289582:139	chr9	28517809	28517809	+	-1	NA	intron (NM_152570, intron 2 of 6)	intron (NM_152570, intron 2 of 6)	201496	NM_152570	158038		NM_152570	ENSG00000174482	LINGO2	LERN3|LRRN6C	leucine rich repeat and Ig domain containing 2	protein-coding
chr5:31254083-31254873:556	chr2	27446246	27446246	+	-1	NA	intron (NM_015662, intron 43 of 47)	intron (NM_015662, intron 43 of 47)	3865	NM_173853	200634		NM_173853	ENSG00000157992	KRTCAP3	KCP3	keratinocyte associated protein 3	protein-coding
chr8:104101371-104101809:224	chr16	66366588	66366588	+	-1	NA	promoter-TSS (NM_001795)	promoter-TSS (NM_001795)	-103	NM_001795	1003		NM_001795	ENSG00000179776	CDH5	7B4|CD144	cadherin 5	protein-coding
chr6:58968279-58968709:214	chr4	88762501	88762501	+	-1	NA	intron (NM_001265579, intron 7 of 16)	intron (NM_001265579, intron 7 of 16)	52712	NR_002806	285512		NR_002806	ENSG00000248019	FAM13A-AS1	FAM13A1OS|FAM13AOS|NCRNA00039	FAM13A antisense RNA 1	ncRNA
chr12:100167930-100168873:498	chr14	90346257	90346257	+	-1	NA	Intergenic	Intergenic	-14316	NM_017970	55051		NM_017970	ENSG00000119720	NRDE2	C14orf102	NRDE-2, necessary for RNA interference, domain containing	protein-coding
chr11:63003898-63004164:109	chr17	15418945	15418945	+	-1	NA	Intergenic	Intergenic	48676	NM_001204477	284040		NM_173622	ENSG00000239704	CDRT4	-	CMT1A duplicated region transcript 4	protein-coding
chr11:106329726-106330156:152	chr17	63951118	63951118	+	-1	NA	intron (NM_000334, intron 14 of 23)	intron (NM_000334, intron 14 of 23)	-18787	NM_021602	974		NM_000626	ENSG00000007312	CD79B	AGM6|B29|IGB|Igbeta	CD79b molecule	protein-coding
chr8:36533430-36533911:357	chr8	13043981	13043981	+	-1	NA	Intergenic	Intergenic	31717	NM_001099677	57604		NM_020844	ENSG00000250305	TRMT9B	C8orf79|KIAA1456|TRM9L|hTRM9L	tRNA methyltransferase 9B (putative)	protein-coding
chr1:62244621-62244970:126	chr2	205198279	205198279	+	-1	NA	intron (NM_205863, intron 15 of 21)	L3b|LINE|CR1	-484221	NM_201264	8828		NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
chr3:115708877-115709497:330	chr1	101242555	101242555	+	-1	NA	Intergenic	Intergenic	5536	NM_001400	1901		NM_001400	ENSG00000170989	S1PR1	CD363|CHEDG1|D1S3362|ECGF1|EDG-1|EDG1|S1P1	sphingosine-1-phosphate receptor 1	protein-coding
chr2:164938664-164939014:179	chr20	46000683	46000683	+	-1	NA	Intergenic	Intergenic	-8225	NM_004994	4318		NM_004994	ENSG00000100985	MMP9	CLG4B|GELB|MANDP2|MMP-9	matrix metallopeptidase 9	protein-coding
chr4:139616268-139616980:156	chr1	18908568	18908568	+	-1	NA	exon (NM_001136265, exon 9 of 9)	exon (NM_001136265, exon 9 of 9)	-5769	NM_001319218	8659		NM_003748	ENSG00000159423	ALDH4A1	ALDH4|P5CD|P5CDh	aldehyde dehydrogenase 4 family member A1	protein-coding
chr2:167139820-167140112:160	chr20	49427885	49427885	+	-1	NA	intron (NM_004975, intron 1 of 1)	intron (NM_004975, intron 1 of 1)	54783	NM_004975	3745		NM_004975	ENSG00000158445	KCNB1	DEE26|DRK1|Kv2.1	potassium voltage-gated channel subfamily B member 1	protein-coding
chr1:64078348-64079142:203	chr2	207123602	207123602	+	-1	NA	intron (NR_073108, intron 3 of 4)	intron (NR_073108, intron 3 of 4)	10535	NM_001270944	8609		NM_003709	ENSG00000118263	KLF7	UKLF	KLF transcription factor 7	protein-coding
chr10:75744088-75744365:133	chr22	24057787	24057787	+	-1	NA	intron (NM_012295, intron 10 of 36)	intron (NM_012295, intron 10 of 36)	46417	NM_001199281	23523		NM_012295	ENSG00000099991	CABIN1	CAIN|KB-318B8.7|PPP3IN	calcineurin binding protein 1	protein-coding
chr10:80587321-80587685:178	chr19	1882417	1882417	+	-1	NA	intron (NM_001130111, intron 1 of 4)	intron (NM_001130111, intron 1 of 4)	3079	NM_001130111	81926		NM_031213	ENSG00000129968	ABHD17A	C19orf27|FAM108A1	abhydrolase domain containing 17A, depalmitoylase	protein-coding
chr5:77384159-77384479:172	chr4	57078805	57078805	+	-1	NA	intron (NM_001553, intron 1 of 4)	intron (NM_001553, intron 1 of 4)	-30957	NR_034081	255130		NR_034081	ENSG00000245067	IGFBP7-AS1	-	IGFBP7 antisense RNA 1	ncRNA
chr3:122120153-122120700:342	chr1	94048476	94048476	+	-1	NA	intron (NM_000350, intron 18 of 49)	intron (NM_000350, intron 18 of 49)	72672	NM_000350	24		NM_000350	ENSG00000198691	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ATP binding cassette subfamily A member 4	protein-coding
chr4:47151631-47152276:393	chr9	98889283	98889283	+	-1	NA	Intergenic	Intergenic	-54624	NM_001855	1306		NM_001855	ENSG00000204291	COL15A1	-	collagen type XV alpha 1 chain	protein-coding
chr18:60750530-60750842:172	chr5	150482218	150482218	+	-1	NA	intron (NR_105061, intron 2 of 2)	intron (NR_105061, intron 2 of 2)	3774	NR_105061	102546298		NR_105061	ENSG00000254333	NDST1-AS1	-	NDST1 antisense RNA 1	ncRNA
chr18:67369656-67370356:169	chr18	12279329	12279329	+	-1	NA	Intergenic	Intergenic	24968	NR_134607	1149		NM_001279	ENSG00000176194	CIDEA	CIDE-A	cell death inducing DFFA like effector a	protein-coding
chr15:97593684-97594347:445	chr12	47559126	47559126	+	-1	NA	Intergenic	Intergenic	144118	NR_149087	111082992		NR_149087		LINC02156	-	long intergenic non-protein coding RNA 2156	ncRNA
chrX:48092013-48092570:336	chrX	129720364	129720364	+	-1	NA	Intergenic	Intergenic	-18615	NM_003399	7512		NM_003399	ENSG00000122121	XPNPEP2	AEACEI|APP2	X-prolyl aminopeptidase 2	protein-coding
chr1:64302800-64303250:165	chr2	207332686	207332686	+	-1	NA	Intergenic	Intergenic	-63262	NR_031633	100302130		NR_031633	ENSG00000221628	MIR1302-4	MIRN1302-4|hsa-mir-1302-4	microRNA 1302-4	ncRNA
chr11:50066134-50066622:149	chr5	180017208	180017208	+	-1	NA	intron (NM_001280801, intron 2 of 7)	L1MC4|LINE|L1	-1811	NR_029885	442908		NR_029885	ENSG00000198995	MIR340	MIRN340|hsa-mir-340|mir-340	microRNA 340	ncRNA
